,cv_f1_mean,best_params,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
NaiveBayes,0.8652482598471696,{'alpha': np.float64(0.9444444444444444)},0.85,0.8508771929824561,0.85,0.849906191369606
LogisticRegression,0.802577911825025,{'C': np.float64(2.06913808111479)},0.8,0.800187617260788,0.8,0.7999687451164245
DecisionTree,0.7026489606279673,"{'max_depth': 5, 'ccp_alpha': np.float64(0.02)}",0.64375,0.64377246444757,0.64375,0.6437360834407594
RandomForest,0.840625,"{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': 20}",0.79375,0.7960163753739569,0.79375,0.7933544675355172
GradientBoosting,0.7740517402429139,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.1}",0.7625,0.7666666666666666,0.7625,0.7615686274509804
