,cv_f1_mean,best_params,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
NaiveBayes,0.8258009593248137,{'alpha': np.float64(1.1555555555555557)},0.88125,0.8827450980392156,0.88125,0.8811339198435972
LogisticRegression,0.8025742449191144,{'C': np.float64(0.4832930238571752)},0.81875,0.8187998124706986,0.81875,0.8187429196452987
DecisionTree,0.7063132342708617,"{'max_depth': 5, 'ccp_alpha': np.float64(0.02)}",0.64375,0.64377246444757,0.64375,0.6437360834407594
RandomForest,0.803125,"{'n_estimators': 200, 'max_features': 'log2', 'max_depth': None}",0.84375,0.8464021413950559,0.84375,0.8434503541935736
GradientBoosting,0.7664435814588278,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.7625,0.7666666666666666,0.7625,0.7615686274509804
