,cv_f1_mean,best_params,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
NaiveBayes,0.8305228749899722,{'alpha': np.float64(0.7333333333333333)},0.88125,0.8827450980392156,0.88125,0.8811339198435972
LogisticRegression,0.7930588579420413,{'C': np.float64(2.06913808111479)},0.8125,0.8126954346466542,0.8125,0.8124706985466479
DecisionTree,0.7026489606279673,"{'max_depth': 5, 'ccp_alpha': np.float64(0.02)}",0.64375,0.64377246444757,0.64375,0.6437360834407594
RandomForest,0.8234375,"{'n_estimators': 200, 'max_features': 'sqrt', 'max_depth': None}",0.83125,0.8313017659009221,0.83125,0.8312434079456229
GradientBoosting,0.7771767665663926,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.1}",0.73125,0.734214274410508,0.73125,0.7303969591284925
